product_id,product_category_name,avg_deliverytime,avg_review,price,delivery_cost,order_count,revenue
00066f42aeeb9f3007548bb9d3f33c38,perfumery,17.14,5.0,101.65,18.59,1,120.24000000000001
00088930e925c41fd95ebfe695fd2655,auto,10.91,4.0,129.9,13.93,1,143.83
0009406fd7479715e4bef61dd91f2462,bed bath table,15.95,1.0,229.0,13.1,1,242.1
000b8f95fcb9e0096488278317764d19,housewares,6.58,5.0,117.8,39.2,2,157.0
000d9be29b5207b54e86aa1b1ac54872,watches gifts,7.12,5.0,199.0,19.27,1,218.27
0011c512eb256aa0dbbb544d8dffcf6e,auto,8.75,1.0,52.0,15.8,1,67.8
00126f27c813603687e6ce486d909d01,cool stuff,12.765,5.0,498.0,29.729999999999997,2,527.73
001795ec6f1b187d37335e1c4704762e,consoles games,10.017777777777777,3.2222222222222223,350.09999999999997,106.1,9,456.19999999999993
001b237c0e9bb435f2e54071129237e9,bed bath table,8.87,5.0,78.9,21.19,1,100.09
001b72dfd63e9833e8c02742adf472e3,Furniture,7.720769230769231,3.6923076923076925,454.87,165.96,13,620.83
001c5d71ac6ad696d22315953758fa04,bed bath table,20.19,5.0,79.9,20.74,1,100.64
00210e41887c2a8ef9f791ebc780cc36,health beauty,5.96,4.428571428571429,233.89,85.21,7,319.09999999999997
002159fe700ed3521f46cfcf6e941c76,Fashion,20.436666666666667,3.8333333333333335,1219.1999999999998,174.41,6,1393.61
0021a87d4997a48b6cef1665602be0f5,computers accessories,6.23,5.0,29.0,8.72,1,37.72
00250175f79f584c14ab5cecd80553cd,housewares,10.843636363636364,4.454545454545454,829.89,111.47,11,941.36
002552c0663708129c0019cc97552d7d,cool stuff,7.95,3.0,108.0,14.1,1,122.1
002959d7a0b0990fe2d69988affcbc80,Furniture,18.18,5.0,129.9,98.02,1,227.92000000000002
002af88741ba70c7b5cf4e4a0ad7ef85,cool stuff,10.29,5.0,234.0,96.66,6,330.65999999999997
002c6dab60557c48cfd6c2222ef7fd76,toys,18.1,5.0,79.9,13.0,1,92.9
002d4ea7c04739c130bb74d7e7cd1694,pet shop,27.18,1.0,43.0,22.06,1,65.06
002ec297b1b00fb9dde7ee6ac24b6771,housewares,6.06,5.0,16.0,7.39,1,23.39
0030026a6ddb3b2d1d4bc225b4b4c4da,sports leisure,1.71,5.0,39.9,9.34,1,49.239999999999995
0030e635639c898b323826589761cf23,garden tools,13.61,4.5,306.0,36.72,2,342.72
003128f981470c3e5a2e7445e4a771cd,sports leisure,3.3049999999999997,5.0,199.96,23.44,2,223.4
0036bb031e69d915cd384d1b3838b5d3,garden tools,7.79,5.0,35.99,10.96,1,46.95
003938452c98ff9ab28e9e7b4bfe97ab,Furniture,5.84,4.0,179.9,21.87,1,201.77
003962cb74a8b43cf1034fed541a76f0,luggage accessories,12.65,5.0,94.9,19.9,1,114.80000000000001
003a31970fea14fffe92ac856b8a9b97,home construction,18.07,5.0,666.0,82.89,3,748.89
003c0b8f6580c850bd2e32044d2ac307,kitchen dining laundry garden furniture,6.2,3.0,898.0,86.2,2,984.2
003dbcabcf8e3231de657c7d9f9a5eba,sports leisure,10.31,4.5,72.0,35.2,2,107.2
004154251837f6ac124ad4374b3a8148,Furniture,10.8,5.0,14.9,12.48,1,27.380000000000003
0042f1a9a7e0edd1400c6cd0fda065f8,health beauty,3.14,5.0,39.9,7.0,1,46.9
0043c62d00db47eff6a6bc4cf6bfaeda,sports leisure,14.32,1.0,527.99,20.14,1,548.13
0043d1a25ef08fb6f41b8fa6f91742ab,construction tools,34.11,1.0,390.0,16.48,1,406.48
0044d70d4e53450c0fbb8255446a797b,sports leisure,17.29,5.0,19.25,26.89,1,46.14
004552d98c5d3653af8b4dbe8def0048,Furniture,13.75,5.0,349.9,18.21,1,368.10999999999996
004636c889c7c3dad6631f136b7fa082,housewares,4.5275,4.0,196.0,57.239999999999995,4,253.24
004ffcbfa5aac82212a95bc972ea8a85,Furniture,15.05,4.0,229.0,34.66,1,263.65999999999997
005030ef108f58b46b78116f754d8d38,perfumery,9.156153846153845,4.615384615384615,191.87,147.06,13,338.93
005c6b24cc96dca3e2c01e824401030e,Fashion,11.14,5.0,43.5,15.1,1,58.6
0060b415594c5e1200324ef1a18493c4,sports leisure,6.93,1.0,69.99,9.32,1,79.31
00636f9286f69c9f1bdabe76e670fb50,Furniture,14.934999999999999,5.0,55.8,25.48,2,81.28
006508eabcc19ae52ed87323124ad0e9,construction tools safety,6.18,5.0,34.89,44.34,1,79.23
006619bbed68b000c8ba3f8725d5409e,health beauty,7.67,5.0,68.5,18.36,1,86.86
0067f97995b0c3a86739734dc87ee6b6,Fashion,17.98,4.0,79.0,14.31,1,93.31
006baa9a5b8f95895f15273a35bc2664,sports leisure,12.583333333333334,4.333333333333333,299.70000000000005,55.63,3,355.33000000000004
006c67546bfe73c33b83f6bd1ad58c36,auto,18.19,5.0,59.9,20.84,1,80.74
00716e5593e8eea55dbe7a29b72a70bc,diapers and hygiene,20.77,4.0,37.0,13.71,1,50.71
00738f5a17ec4450e88915357b085c1e,toys,9.35,5.0,23.9,10.96,1,34.86
0075c14603d80515e20908c156ceb47b,sports leisure,8.54,4.0,99.8,36.46,2,136.26
007c63ae4b346920756b5adcad8095de,housewares,13.764000000000001,5.0,383.96,88.1,5,472.05999999999995
0081787b18cce4acc2d1adec4520d7ba,construction tools safety,12.26,3.0,521.9,26.52,1,548.42
0085dddda27567189f1dfd1eda7c286e,bed bath table,12.63,5.0,179.8,18.51,1,198.31
008686d56f4c85b987a4c24a286834c1,bed bath table,28.73,5.0,207.0,24.32,1,231.32
00878d953636afec00d3e85d55a12e7f,health beauty,13.347,4.2,1000.0,228.4,10,1228.4
008b0ec3de3638637099f97add750136,health beauty,13.18,5.0,69.49,19.46,1,88.94999999999999
008b51e6be49ee039854b5e35c331b02,watches gifts,25.08,4.0,270.9,52.62,1,323.52
008cff0e5792219fae03e570f980b330,sports leisure,11.987727272727273,4.363636363636363,3054.88,567.25,22,3622.13
00905d58c87afcbce21420b3712cacaa,bed bath table,6.962000000000001,5.0,799.5,86.03999999999999,5,885.54
00917855135d67fb060dcd81863166a4,computers accessories,11.74,4.0,39.9,18.23,1,58.129999999999995
0091d85023824de2d33252310c952307,housewares,9.4,4.0,298.66,45.2,2,343.86
00929aaa7751a77220db9caa1ae6d3ab,housewares,9.55,4.0,29.9,19.84,1,49.739999999999995
0092a9e1c8a471753ed7ffa7eef5086e,health beauty,9.423333333333334,5.0,134.7,55.8,3,190.5
00989337a1916a0055eedd1fdb35eb53,Furniture,16.155,4.0,37.5,34.14,2,71.64
009af1277432f1a05742df69cdf72d1e,toys,13.571428571428571,4.0,404.5,99.68,7,504.18
009c09f439988bc06a93d6b8186dce73,perfumery,13.86,5.0,132.4,14.05,1,146.45000000000002
009df2b0bc078648fc4f5898de8cabff,auto,27.88,5.0,949.9,102.46,1,1052.36
00a0db09dc7c94d512ec51900141ed69,computers accessories,14.56,5.0,49.99,15.1,1,65.09
00a8c742ae1da97e9064205459977e6c,computers accessories,12.75,4.0,14.99,14.1,1,29.09
00a985c524adbb97a4211e4ce17aabec,telephony,7.19,2.0,24.99,12.84,1,37.83
00aa70fd749f3b9ce8ca4bc914a9e7b1,Furniture,22.14,2.0,17.46,38.1,2,55.56
00ae7076313576f94d9107599d79a978,sports leisure,12.956666666666665,4.0,269.70000000000005,52.07,3,321.77000000000004
00b264091d1c8df03976c3f3b176b35c,auto,7.92,5.0,129.01,19.0,1,148.01
00b4155166f994ba9da3cf001eb80505,housewares,3.71,5.0,94.0,23.46,1,117.46000000000001
00b782074a5ec523bf31951b4935d572,telephony,14.1,5.0,66.0,15.21,1,81.21000000000001
00ba6d766f0b1d7b78a5ce3e1e033263,housewares,9.004999999999999,3.6875,737.9,314.88,16,1052.78
00baba5b58e274d0332a0c8a0a66f877,perfumery,14.226363636363637,4.090909090909091,526.9,157.17,11,684.0699999999999
00bb62ea3729537a687c3fddcd123662,auto,7.99,4.0,537.76,100.82,2,638.5799999999999
00bc6e6d4ceb98ec7ed058b0a243a8b9,christmas supplies,13.93,5.0,16.56,15.1,1,31.659999999999997
00be617b58175bf207fd35910d5097a4,bed bath table,15.74,3.75,195.6,101.0,4,296.6
00c1e6d55fe174bfbb179257255e49bb,cool stuff,11.44,3.0,146.65,18.91,1,165.56
00c3e35b00dd00ab864d4a94c1b97e66,perfumery,7.09,5.0,199.98,26.17,2,226.14999999999998
00c407e056c74eb8040a1233ca6da16f,stationery,15.21,5.0,84.9,18.47,1,103.37
00c744ca2f3b0e76ce227b146095d3f9,toys,8.19,5.0,33.9,15.65,1,49.55
00c794371af4dc7c5b6ba3ef913556bb,fixed telephony,7.2,4.0,10.9,14.52,1,25.42
00cc15e0cef551848c797ab75ba904b1,watches gifts,9.33,5.0,749.99,19.0,1,768.99
00d2add85b1f5aba6bb3d5d977314e25,home construction,22.61,3.0,702.11,115.99,2,818.1
00d2fa6f2a87633084c8e0400d41a65a,bed bath table,5.43,3.0,113.9,34.28,1,148.18
00d363b8c14bb9a6c73febc4c42acf47,consoles games,9.13,4.0,19.9,10.96,1,30.86
00d51a45854ebce28acda79f414388ee,housewares,1.43,5.0,31.9,7.71,1,39.61
00d62d0388b0786d730a1aaed91c0ae0,Furniture,14.01,5.0,13.9,11.85,1,25.75
00d93a09990b319a7c946ed7a8c67656,Furniture,19.43,2.0,169.9,26.03,1,195.93
00dc8a1b2de45a7fca5921544e5f351d,computers accessories,9.84,5.0,83.99,38.14,1,122.13
00ddaddbe03b7103d80daee96892363f,telephony,4.46,5.0,26.99,7.78,1,34.769999999999996
00de606a5dda99c2499f94ef18282977,auto,9.08,5.0,118.8,15.14,1,133.94
00de7f393d962717eeeb2d7131a40dba,telephony,20.366666666666667,3.1333333333333333,1524.5,284.28,15,1808.78
00df6fc5f33cc3f7ceec4ec6337d9cd7,watches gifts,9.79,5.0,999.99,15.19,1,1015.1800000000001
00e040fed5fb843e28740181ddca3521,telephony,9.22,5.0,21.99,7.78,1,29.77
