seller_id,num_of_orders,total_revenue,avg_delivery_time,avg_review,revenue_group,rank_by_delivery
48efc9d94a9834137efd9ea76b065a38,33,345.6,10.794,5.0,low,119.0
41c2bad7229b0c25e6becf179ebf63ff,20,782.0,4.693,4.95,low,1.0
02f5837340d7eb4f653d676c7256523a,30,3883.05,9.659,4.833,low,78.0
d13e50eaa47b4cbe9eb81465865d8cfc,66,7073.05,5.039,4.818,medium,1.0
42fa4ee7240e9b8eb4576358ec142ba7,21,3646.7,6.932,4.81,low,14.0
b410bdd36d5db7a65dcd42b7ead933b8,42,7368.9,9.202,4.81,medium,44.0
83e197e95a1bbabc8c75e883ed016c47,46,6574.1900000000005,10.443,4.804,medium,90.0
d9bd94811c3338dceb4181f3dbc0c73e,54,6911.02,8.041,4.796,medium,12.0
5a93f3ab0ef4c84ed5e1b5dbf23978bc,37,2276.47,15.252,4.784,low,241.0
7ade73f1b9b4e965f9009a4c3a7e2c15,26,1835.3000000000002,9.665,4.769,low,79.0
5bffbafbb22daf6d3bfc216a46db8708,21,5239.7,8.654,4.762,medium,29.0
79ed755314cfe6df0daef2c6cd3022cd,22,3547.7000000000003,9.141,4.727,low,59.0
3785b653b1b82de85ab47dd139938091,21,1552.0,11.929,4.714,low,156.0
671585f5a2af58b6e276bc01003c0d2b,27,1244.0,5.588,4.704,low,3.0
02ecc2a19303f05e59ce133fd923fff7,20,5024.29,11.404,4.7,medium,118.0
013900e863eace745d3ec7614cab5b1a,23,1619.7,12.194,4.696,low,161.0
d566c37fa119d5e66c4e9052e83ee4ea,64,5031.9,5.822,4.688,medium,2.0
18e694e0e48ed6f7aa3f24aade5fd697,31,701.54,6.012,4.677,low,6.0
376a891762bbdecbc02b4b6adec3fdda,57,6406.23,12.221,4.667,medium,145.0
6b15924333bd1a741595fe981ea04822,21,614.3199999999999,7.78,4.667,low,31.0
0bb738e4d789e63e2267697c42d35a2d,29,2308.4,12.086,4.655,low,159.0
42ef3192a9ff87a22d1867b74b3ee205,23,1354.0900000000001,9.31,4.652,low,67.0
5f3ae9136c875522250f8184f253413a,42,1143.05,7.862,4.643,low,35.0
960945e1a9535cbc0cd6ddd35fbe7ae8,28,3381.73,6.187,4.643,low,7.0
d1b65fc7debc3361ea86b5f14c68d2e2,39,11413.17,9.192,4.641,high,15.0
116ccb1a1604bc88e4d234a8c23f33de,61,2004.89,9.047,4.639,low,57.0
31561f325664a8a7aba4c8d0c3a9b3db,36,2702.19,7.389,4.639,low,18.0
ac3508719a1d8f5b7614b798f70af136,99,12196.44,9.477,4.636,high,22.0
516e7738bd8f735ac19a010ee5450d8d,74,6463.19,8.833,4.635,medium,34.0
6061155addc1e54b4cfb51c1c2a32ad8,27,15653.4,5.935,4.63,high,1.0
1771297ac436903d1dd6b0e9279aa505,27,2833.2200000000003,9.519,4.63,low,74.0
cc3d14116804f7209f3884f6367f1152,27,5477.8,12.827,4.63,medium,167.0
718539d38d07dd351c76db862760e2e2,35,1273.01,8.636,4.629,low,48.0
1bb2bdb95f4841f1bba2c0d2cd83d3c9,78,4885.8099999999995,12.418,4.628,medium,149.0
33a17d60c64393351ebf1ef860f4e0f2,43,8152.4800000000005,10.613,4.628,medium,95.0
ed4311e67debd72b8610a5347a743087,24,3496.0,7.826,4.625,low,33.0
d4e12e7884759a14fa0f5f896c791cae,29,1400.0,8.423,4.621,low,45.0
1c40343cc5d18c2d8248ac2f3366de34,21,2461.41,7.483,4.619,low,20.0
080199a181c46c657dc5aa235411be3b,78,14324.710000000001,8.088,4.615,high,6.0
95ec4458365c4d11f452ccf538377619,26,1819.43,6.222,4.615,low,8.0
6e386f64c84e482f0b9abf960797ee1b,28,11921.6,10.291,4.607,high,51.0
1caf283236cd69af44cbc09a0a1e7d32,33,917.6,13.81,4.606,low,213.0
808d4348b916efa08e766ebad39f61eb,20,712.95,7.961,4.6,low,38.0
6338ea67c41078a46ad99cc009654956,35,2153.39,12.699,4.6,low,176.0
bf3c6d2a28b2b5501e6c15448982dcc9,35,3956.5,11.816,4.6,low,153.0
02f623a8eb246f3c5f7c2f96462654e6,42,5790.0,8.531,4.595,medium,22.0
594f9aaa48e5bf431f011ddc5669b0d5,37,3248.8,7.787,4.595,low,32.0
f0837c8d71434931d9e38e7b79234797,22,4596.9,11.823,4.591,medium,130.0
a3dd39f583bc80bd8c5901c95878921e,34,4607.81,12.463,4.588,medium,152.0
289cdb325fb7e7f891c38608bf9e0962,109,13410.55,6.729,4.587,high,3.0
d9a84e1403de8da0c3aa531d6d108ba6,53,1385.3,7.52,4.585,low,21.0
e5e33c0d8e7e002f398f5dc4cbbb338f,26,6494.9,12.065,4.577,medium,140.0
8d79c8a04e42d722a75097ce5cbcf2ef,26,2627.82,19.173,4.577,low,261.0
744dac408745240a2c2528fb1b6028f3,78,22322.6,11.03,4.577,high,75.0
5b925e1d006e9476d738aa200751b73b,59,7342.5,10.691,4.576,medium,98.0
679769a98cfcc6da877c8486ff1c13f3,21,7029.0,9.537,4.571,medium,49.0
d1ef48b38baca7e831711c4a0aeb398f,28,1439.13,9.91,4.571,low,85.0
e882b2a25a10b9c057cc49695f222c19,56,51720.270000000004,9.6,4.571,high,24.0
f4db9b37944bcb8873e6b456ee190bbf,21,3409.78,13.153,4.571,low,191.0
c864036feaab8c1659f65ea4faebe1da,58,10454.2,12.281,4.569,high,117.0
c66dccfb3f109511246da627dd5a2498,44,12182.55,11.344,4.568,high,86.0
a5cba26a62b8b4d0145b68b841e62e7f,53,14438.84,13.184,4.566,high,158.0
10076e5788b8ee532724bcd460baf762,23,821.48,10.033,4.565,low,87.0
6df688df543f90e9b38f4319e75a9d88,39,1891.76,7.937,4.564,low,37.0
729b2d09b2a0bdab221076327f13d050,48,1805.21,12.483,4.562,low,169.0
43f8c9950d11ecd03a0304a49e010da6,41,4249.59,11.499,4.561,medium,122.0
f7496d659ca9fdaf323c0aae84176632,25,4837.67,12.428,4.56,medium,150.0
1dc2de47ee26a0a5b12dc14fd6dc0dea,25,1670.3,14.61,4.56,low,234.0
e49c26c3edfa46d227d5121a6b6e4d37,34,3624.35,11.62,4.559,low,147.0
d921b68bf747894be13a97ae52b0f386,77,15645.8,9.975,4.558,high,37.0
12b9676b00f60f3b700e83af21824c0e,132,26177.0,14.891,4.553,high,214.0
7f7b8245c336066a1f9933c359f11d77,38,2094.36,8.171,4.553,low,41.0
080102cd0a76b09e0dcf55fcacc60e05,121,5536.65,9.953,4.545,medium,66.0
916c9de0b5ad957346eeeb12f332687e,22,5336.5,8.835,4.545,medium,35.0
834f3294fba9f932f56edc879193f925,66,39907.5,14.296,4.545,high,191.0
2a5b78b41cd05baeac8df54c6606b92c,46,15554.279999999999,9.04,4.543,high,13.0
